"species"	"site"	"season"	"count"
"2"	"244"	"1"	"0"
"3"	"244"	"1"	"1"
"1"	"245"	"1"	"1"
"2"	"245"	"1"	"0"
"3"	"245"	"1"	"1"
"1"	"246"	"1"	"0"
"2"	"246"	"1"	"1"
"3"	"246"	"1"	"0"
"1"	"247"	"1"	"0"
"2"	"247"	"1"	"0"
"3"	"247"	"1"	"0"
"1"	"248"	"1"	"1"
"2"	"248"	"1"	"0"
"3"	"248"	"1"	"1"
"1"	"249"	"1"	"1"
"2"	"249"	"1"	"0"
"3"	"249"	"1"	"1"
"1"	"250"	"1"	"1"
"2"	"250"	"1"	"0"
"3"	"250"	"1"	"1"
"1"	"251"	"1"	"0"
"2"	"251"	"1"	"0"
"3"	"251"	"1"	"0"
"1"	"252"	"1"	"0"
"2"	"252"	"1"	"0"
"3"	"252"	"1"	"0"
"1"	"253"	"1"	"0"
"2"	"253"	"1"	"0"
"3"	"253"	"1"	"0"
"1"	"254"	"1"	"0"
"2"	"254"	"1"	"0"
"3"	"254"	"1"	"0"
"1"	"255"	"1"	"1"
"2"	"255"	"1"	"0"
"3"	"255"	"1"	"1"
"1"	"256"	"1"	"1"
"2"	"256"	"1"	"0"
"3"	"256"	"1"	"1"
"1"	"257"	"1"	"0"
"2"	"257"	"1"	"0"
"3"	"257"	"1"	"0"
"1"	"258"	"1"	"1"
"2"	"258"	"1"	"0"
"3"	"258"	"1"	"1"
"1"	"259"	"1"	"0"
"2"	"259"	"1"	"0"
"3"	"259"	"1"	"0"
"1"	"260"	"1"	"0"
"2"	"260"	"1"	"0"
"3"	"260"	"1"	"0"
"1"	"261"	"1"	"0"
"2"	"261"	"1"	"0"
"3"	"261"	"1"	"0"
"1"	"262"	"1"	"0"
"2"	"262"	"1"	"0"
"3"	"262"	"1"	"0"
"1"	"263"	"1"	"1"
"2"	"263"	"1"	"0"
"3"	"263"	"1"	"1"
"1"	"264"	"1"	"1"
"2"	"264"	"1"	"0"
"3"	"264"	"1"	"1"
"1"	"265"	"1"	"0"
"2"	"265"	"1"	"0"
"3"	"265"	"1"	"0"
"1"	"266"	"1"	"1"
"2"	"266"	"1"	"0"
"3"	"266"	"1"	"1"
"1"	"267"	"1"	"1"
"2"	"267"	"1"	"1"
"3"	"267"	"1"	"1"
"1"	"268"	"1"	"0"
"2"	"268"	"1"	"0"
"3"	"268"	"1"	"0"
"1"	"269"	"1"	"1"
"2"	"269"	"1"	"0"
"3"	"269"	"1"	"1"
"1"	"270"	"1"	"0"
"2"	"270"	"1"	"0"
"3"	"270"	"1"	"0"
"1"	"271"	"1"	"1"
"2"	"271"	"1"	"0"
"3"	"271"	"1"	"1"
"1"	"272"	"1"	"1"
"2"	"272"	"1"	"0"
"3"	"272"	"1"	"1"
"1"	"273"	"1"	"0"
"2"	"273"	"1"	"0"
"3"	"273"	"1"	"0"
"1"	"274"	"1"	"1"
"2"	"274"	"1"	"0"
"3"	"274"	"1"	"1"
"1"	"275"	"1"	"1"
"2"	"275"	"1"	"0"
"3"	"275"	"1"	"1"
"1"	"276"	"1"	"1"
"2"	"276"	"1"	"0"
"3"	"276"	"1"	"1"
"1"	"277"	"1"	"1"
"2"	"277"	"1"	"0"
"3"	"277"	"1"	"1"
"1"	"278"	"1"	"1"
"2"	"278"	"1"	"0"
"3"	"278"	"1"	"1"
"1"	"279"	"1"	"0"
"2"	"279"	"1"	"0"
"3"	"279"	"1"	"0"
"1"	"280"	"1"	"1"
"2"	"280"	"1"	"0"
"3"	"280"	"1"	"1"
"1"	"281"	"1"	"1"
"2"	"281"	"1"	"0"
"3"	"281"	"1"	"1"
"1"	"282"	"1"	"1"
"2"	"282"	"1"	"0"
"3"	"282"	"1"	"1"
"1"	"283"	"1"	"0"
"2"	"283"	"1"	"0"
"3"	"283"	"1"	"0"
"1"	"284"	"1"	"1"
"2"	"284"	"1"	"0"
"3"	"284"	"1"	"1"
"1"	"285"	"1"	"1"
"2"	"285"	"1"	"0"
"3"	"285"	"1"	"1"
